@relation music
@attribute	average_quadratic_mean_RMS-Loudness	{-1,1}
@attribute	deviation_quadratic_mean_RMS-Loudness	{-1,1}
@attribute	absolute_mean_Abs-Loudness	{-1,1}
@attribute	minIndex_TempoFinder	{-1,1}
@attribute	average_arithmetic_mean_CorrelationAverage	{-1,1}
@attribute	deviation_arithmetic_mean_CorrelationAverage	{-1,1}
@attribute	average_arithmetic_mean_DifferenceAverage	{-1,1}
@attribute	deviation_arithmetic_mean_DifferenceAverage	{-1,1}
@attribute	average_arithmetic_mean_ZeroCrossingsAverage	{-1,1}
@attribute	deviation_arithmetic_mean_ZeroCrossingsAverage	{-1,1}
@attribute	average_arithmetic_mean_AngleAverage	{-1,1}
@attribute	deviation_arithmetic_mean_AngleAverage	{-1,1}
@attribute	average_arithmetic_mean_DistanceAverage	{-1,1}
@attribute	deviation_arithmetic_mean_DistanceAverage	{-1,1}
@attribute	peak_0_value_FrequencyPeaks	{-1,1}
@attribute	peak_0_index_FrequencyPeaks	{-1,1}
@attribute	peak_0_width_FrequencyPeaks	{-1,1}
@attribute	peak_1_value_FrequencyPeaks	{-1,1}
@attribute	peak_1_index_FrequencyPeaks	{-1,1}
@attribute	peak_1_width_FrequencyPeaks	{-1,1}
@attribute	peak_2_value_FrequencyPeaks	{-1,1}
@attribute	peak_2_index_FrequencyPeaks	{-1,1}
@attribute	peak_2_width_FrequencyPeaks	{-1,1}
@attribute	peak_3_value_FrequencyPeaks	{-1,1}
@attribute	peak_3_index_FrequencyPeaks	{-1,1}
@attribute	peak_3_width_FrequencyPeaks	{-1,1}
@attribute	peak_4_value_FrequencyPeaks	{-1,1}
@attribute	peak_4_index_FrequencyPeaks	{-1,1}
@attribute	peak_4_width_FrequencyPeaks	{-1,1}
@attribute	lin_reg_gradient	{-1,1}
@attribute	lin_reg_axis_interc	{-1,1}
@attribute	lin_reg_discrepancy	{-1,1}
@attribute	average_arithmetic_mean_FrequencyWindowAverage	{-1,1}
@attribute	deviation_arithmetic_mean_FrequencyWindowAverage	{-1,1}
@attribute	interval_cluster_0_values_start	{-1,1}
@attribute	interval_cluster_0_values_end	{-1,1}
@attribute	interval_cluster_1_empty_start	{-1,1}
@attribute	interval_cluster_1_empty_end	{-1,1}
@attribute	interval_cluster_2_values_strength	{-1,1}
@attribute	interval_cluster_2_values_start	{-1,1}
@attribute	interval_cluster_2_values_end	{-1,1}
@attribute	length_series	{-1,1}
@attribute	class	{-1,1}

@data
-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1
-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1
1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1
-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1
1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1
1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1
1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1
1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1
1,1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1
-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1
1,1,1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
